"strain","treatment","background","knockout","control","gene","estimate","p.value","padj"
"phi9v2","wt-9","wt","phi9","T7Hi","9",0.04,4.1e-06,0.00025
"phi9v2","wt-9","wt","phi9","T7Hi","10B",0.044,1.4e-05,0.00042
"phi9v2","wt-9","wt","phi9","T7Hi","8",0.014,2.8e-05,0.00048
"phi9v2","wt-9","wt","phi9","T7Hi","10A",0.045,3.2e-05,0.00048
"phi9v2","wt-9","wt","phi9","T7Hi","17",-0.0078,0.00014,0.0017
"phi9v2","wt-9","wt","phi9","T7Hi","1.3",-0.0028,0.00023,0.0023
"phi9v2","wt-9","wt","phi9","T7Hi","18",-0.0059,0.002,0.017
"phi9v2","wt-9","wt","phi9","T7Hi","17.5",-0.0055,0.0041,0.03
"phi9v2","wt-9","wt","phi9","T7Hi","18.7",-0.0034,0.0083,0.055
"phi9v2","wt-9","wt","phi9","T7Hi","18.5",-0.004,0.014,0.084
"phi9v2","wt-9","wt","phi9","T7Hi","1.5",-0.0051,0.016,0.088
"phi9v2","wt-9","wt","phi9","T7Hi","19.2",-0.0065,0.018,0.092
"phi9v2","wt-9","wt","phi9","T7Hi","1.2",-0.0024,0.02,0.092
"phi9v2","wt-9","wt","phi9","T7Hi","1.6",-0.0038,0.028,0.12
"phi9v2","wt-9","wt","phi9","T7Hi","1.7",-0.0048,0.036,0.14
"phi9v2","wt-9","wt","phi9","T7Hi","19.3",-0.005,0.037,0.14
"phi9v2","wt-9","wt","phi9","T7Hi","19",-0.0032,0.04,0.14
"phi9v2","wt-9","wt","phi9","T7Hi","5.3",-0.0026,0.045,0.15
"phi9v2","wt-9","wt","phi9","T7Hi","1.8",-0.0074,0.078,0.25
"phi9v2","wt-9","wt","phi9","T7Hi","7.7",0.0052,0.09,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","12",0.0015,0.09,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","1.1",-0.0022,0.11,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","2",-0.0047,0.11,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","3",-0.0087,0.11,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","6.5",-0.0059,0.11,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","6.7",-0.005,0.11,0.26
"phi9v2","wt-9","wt","phi9","T7Hi","3.5",-0.0059,0.12,0.27
"phi9v2","wt-9","wt","phi9","T7Hi","5.5",-0.0026,0.15,0.33
"phi9v2","wt-9","wt","phi9","T7Hi","5.5-5.7",-0.0021,0.17,0.34
"phi9v2","wt-9","wt","phi9","T7Hi","7",-0.0066,0.17,0.34
"phi9v2","wt-9","wt","phi9","T7Hi","5.7",-0.0026,0.18,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","0.3",-0.00018,0.19,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","0.4",1.1e-06,0.21,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","4.3",-0.0048,0.2,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","4.7",-0.00086,0.21,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","5",-0.00084,0.22,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","7.3",-0.0069,0.19,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","4.2",-0.002,0.22,0.35
"phi9v2","wt-9","wt","phi9","T7Hi","0.5",7.7e-07,0.23,0.36
"phi9v2","wt-9","wt","phi9","T7Hi","0.7",-6.9e-05,0.24,0.36
"phi9v2","wt-9","wt","phi9","T7Hi","5.9",-0.0025,0.27,0.4
"phi9v2","wt-9","wt","phi9","T7Hi","11",0.0018,0.32,0.45
"phi9v2","wt-9","wt","phi9","T7Hi","3.8",-0.00037,0.33,0.46
"phi9v2","wt-9","wt","phi9","T7Hi","2.5",-0.0031,0.35,0.47
"phi9v2","wt-9","wt","phi9","T7Hi","6",-0.0015,0.38,0.51
"phi9v2","wt-9","wt","phi9","T7Hi","4A",-0.00062,0.42,0.54
"phi9v2","wt-9","wt","phi9","T7Hi","4B",-0.00065,0.42,0.54
"phi9v2","wt-9","wt","phi9","T7Hi","0.6B",2.7e-07,0.44,0.55
"phi9v2","wt-9","wt","phi9","T7Hi","2.8",-0.0022,0.46,0.55
"phi9v2","wt-9","wt","phi9","T7Hi","4.1",-0.00075,0.45,0.55
"phi9v2","wt-9","wt","phi9","T7Hi","1.4",-0.00056,0.47,0.55
"phi9v2","wt-9","wt","phi9","T7Hi","0.6A",1.3e-07,0.51,0.59
"phi9v2","wt-9","wt","phi9","T7Hi","4.5",-0.0019,0.52,0.59
"phi9v2","wt-9","wt","phi9","T7Hi","6.3",-0.0018,0.55,0.6
"phi9v2","wt-9","wt","phi9","T7Hi","14",-0.001,0.54,0.6
"phi9v2","wt-9","wt","phi9","T7Hi","16",-0.00059,0.56,0.6
"phi9v2","wt-9","wt","phi9","T7Hi","1",-7.3e-05,0.58,0.61
"phi9v2","wt-9","wt","phi9","T7Hi","15",-0.00032,0.78,0.81
"phi9v2","wt-9","wt","phi9","T7Hi","13",-2e-04,0.83,0.85
"phi9v2","wt-9","wt","phi9","T7Hi","19.5",-0.0013,0.92,0.92
"phi910v2","wt-910","wt","phi910","T7Hi","10B",0.1,5.9e-09,2.8e-07
"phi910v2","wt-910","wt","phi910","T7Hi","10A",0.11,9.2e-09,2.8e-07
"phi910v2","wt-910","wt","phi910","T7Hi","5.7",-0.011,9.2e-07,1.8e-05
"phi910v2","wt-910","wt","phi910","T7Hi","9",0.043,1.4e-06,2.2e-05
"phi910v2","wt-910","wt","phi910","T7Hi","0.3",-0.0027,2.6e-06,2.9e-05
"phi910v2","wt-910","wt","phi910","T7Hi","18.7",-0.0055,2.9e-06,2.9e-05
"phi910v2","wt-910","wt","phi910","T7Hi","8",0.017,4.3e-06,3.2e-05
"phi910v2","wt-910","wt","phi910","T7Hi","11",0.0092,3.9e-06,3.2e-05
"phi910v2","wt-910","wt","phi910","T7Hi","5.5-5.7",-0.0083,6.5e-06,4.4e-05
"phi910v2","wt-910","wt","phi910","T7Hi","6",-0.01,9.1e-06,5.4e-05
"phi910v2","wt-910","wt","phi910","T7Hi","12",0.0058,1.7e-05,9.3e-05
"phi910v2","wt-910","wt","phi910","T7Hi","1.3",-0.0032,1.9e-05,9.4e-05
"phi910v2","wt-910","wt","phi910","T7Hi","19.2",-0.0083,4.3e-05,2e-04
"phi910v2","wt-910","wt","phi910","T7Hi","5.5",-0.0094,4.7e-05,2e-04
"phi910v2","wt-910","wt","phi910","T7Hi","5.9",-0.012,5.1e-05,2e-04
"phi910v2","wt-910","wt","phi910","T7Hi","19.3",-0.0071,6.8e-05,0.00026
"phi910v2","wt-910","wt","phi910","T7Hi","0.7",-0.0014,9.9e-05,0.00035
"phi910v2","wt-910","wt","phi910","T7Hi","19",-0.0048,0.00018,0.00061
"phi910v2","wt-910","wt","phi910","T7Hi","6.3",-0.017,0.00032,0.001
"phi910v2","wt-910","wt","phi910","T7Hi","3.5",-0.013,4e-04,0.0012
"phi910v2","wt-910","wt","phi910","T7Hi","1.2",-0.0065,0.00053,0.0015
"phi910v2","wt-910","wt","phi910","T7Hi","5.3",-0.0054,7e-04,0.0019
"phi910v2","wt-910","wt","phi910","T7Hi","14",0.0038,0.00089,0.0023
"phi910v2","wt-910","wt","phi910","T7Hi","18.5",-0.0047,0.0012,0.0029
"phi910v2","wt-910","wt","phi910","T7Hi","15",0.0033,0.0013,0.0031
"phi910v2","wt-910","wt","phi910","T7Hi","1.6",-0.0099,0.0016,0.0034
"phi910v2","wt-910","wt","phi910","T7Hi","13",0.0024,0.0015,0.0034
"phi910v2","wt-910","wt","phi910","T7Hi","17",-0.0068,0.0016,0.0034
"phi910v2","wt-910","wt","phi910","T7Hi","1",-0.0012,0.002,0.0041
"phi910v2","wt-910","wt","phi910","T7Hi","1.5",-0.011,0.0037,0.0075
"phi910v2","wt-910","wt","phi910","T7Hi","1.7",-0.011,0.0052,0.01
"phi910v2","wt-910","wt","phi910","T7Hi","1.1",-0.007,0.0063,0.012
"phi910v2","wt-910","wt","phi910","T7Hi","7.7",0.0088,0.0074,0.014
"phi910v2","wt-910","wt","phi910","T7Hi","4.3",-0.017,0.0077,0.014
"phi910v2","wt-910","wt","phi910","T7Hi","1.8",-0.015,0.0089,0.015
"phi910v2","wt-910","wt","phi910","T7Hi","2",-0.011,0.012,0.019
"phi910v2","wt-910","wt","phi910","T7Hi","4.2",-0.0047,0.013,0.021
"phi910v2","wt-910","wt","phi910","T7Hi","1.4",-0.0022,0.019,0.029
"phi910v2","wt-910","wt","phi910","T7Hi","4.5",-0.014,0.03,0.046
"phi910v2","wt-910","wt","phi910","T7Hi","4B",-0.0021,0.032,0.048
"phi910v2","wt-910","wt","phi910","T7Hi","4.7",-0.0013,0.033,0.048
"phi910v2","wt-910","wt","phi910","T7Hi","4A",-0.002,0.033,0.048
"phi910v2","wt-910","wt","phi910","T7Hi","4.1",-0.0023,0.048,0.067
"phi910v2","wt-910","wt","phi910","T7Hi","16",0.0015,0.054,0.073
"phi910v2","wt-910","wt","phi910","T7Hi","5",-0.0011,0.065,0.086
"phi910v2","wt-910","wt","phi910","T7Hi","3.8",-0.00077,0.072,0.094
"phi910v2","wt-910","wt","phi910","T7Hi","2.5",-0.0063,0.075,0.096
"phi910v2","wt-910","wt","phi910","T7Hi","19.5",-0.032,0.12,0.15
"phi910v2","wt-910","wt","phi910","T7Hi","2.8",-0.0033,0.13,0.16
"phi910v2","wt-910","wt","phi910","T7Hi","0.4",1.1e-06,0.19,0.23
"phi910v2","wt-910","wt","phi910","T7Hi","3",-0.0064,0.21,0.24
"phi910v2","wt-910","wt","phi910","T7Hi","0.5",5.4e-07,0.4,0.46
"phi910v2","wt-910","wt","phi910","T7Hi","6.7",-0.0027,0.44,0.5
"phi910v2","wt-910","wt","phi910","T7Hi","18",-0.0013,0.52,0.58
"phi910v2","wt-910","wt","phi910","T7Hi","0.6B",2.1e-07,0.55,0.6
"phi910v2","wt-910","wt","phi910","T7Hi","6.5",-0.0014,0.69,0.74
"phi910v2","wt-910","wt","phi910","T7Hi","17.5",-0.00038,0.75,0.79
"phi910v2","wt-910","wt","phi910","T7Hi","0.6A",3.2e-08,0.88,0.91
"phi910v2","wt-910","wt","phi910","T7Hi","7.3",0.00045,0.91,0.92
"phi910v2","wt-910","wt","phi910","T7Hi","7",-0.00026,0.94,0.94
"phi10","wt-10","wt","phi10","T7Hi","10B",0.052,3.4e-07,2.1e-05
"phi10","wt-10","wt","phi10","T7Hi","10A",0.054,8.2e-07,2.4e-05
"phi10","wt-10","wt","phi10","T7Hi","18",-0.0059,0.0011,0.02
"phi10","wt-10","wt","phi10","T7Hi","18.7",-0.0026,0.0013,0.02
"phi10","wt-10","wt","phi10","T7Hi","17",-0.0077,0.0026,0.031
"phi10","wt-10","wt","phi10","T7Hi","1.3",-0.0022,0.013,0.097
"phi10","wt-10","wt","phi10","T7Hi","12",0.0024,0.011,0.097
"phi10","wt-10","wt","phi10","T7Hi","17.5",-0.0052,0.013,0.097
"phi10","wt-10","wt","phi10","T7Hi","1.2",-0.0029,0.028,0.13
"phi10","wt-10","wt","phi10","T7Hi","1.5",-0.0044,0.023,0.13
"phi10","wt-10","wt","phi10","T7Hi","9",0.0093,0.027,0.13
"phi10","wt-10","wt","phi10","T7Hi","11",0.0037,0.025,0.13
"phi10","wt-10","wt","phi10","T7Hi","19.2",-0.0044,0.027,0.13
"phi10","wt-10","wt","phi10","T7Hi","19.3",-0.003,0.03,0.13
"phi10","wt-10","wt","phi10","T7Hi","19",-0.0022,0.035,0.14
"phi10","wt-10","wt","phi10","T7Hi","18.5",-0.0033,0.052,0.19
"phi10","wt-10","wt","phi10","T7Hi","1.6",-0.0031,0.056,0.2
"phi10","wt-10","wt","phi10","T7Hi","1.7",-0.0036,0.067,0.21
"phi10","wt-10","wt","phi10","T7Hi","6.5",-0.0074,0.068,0.21
"phi10","wt-10","wt","phi10","T7Hi","1.1",-0.0033,0.082,0.25
"phi10","wt-10","wt","phi10","T7Hi","2",-0.0039,0.12,0.32
"phi10","wt-10","wt","phi10","T7Hi","6.7",-0.0049,0.11,0.32
"phi10","wt-10","wt","phi10","T7Hi","3.5",-0.0055,0.12,0.32
"phi10","wt-10","wt","phi10","T7Hi","1.8",-0.0048,0.13,0.32
"phi10","wt-10","wt","phi10","T7Hi","5.3",-0.0012,0.13,0.32
"phi10","wt-10","wt","phi10","T7Hi","7",-0.007,0.16,0.36
"phi10","wt-10","wt","phi10","T7Hi","7.3",-0.0078,0.16,0.36
"phi10","wt-10","wt","phi10","T7Hi","0.3",-0.00022,0.24,0.52
"phi10","wt-10","wt","phi10","T7Hi","0.7",-9.6e-05,0.28,0.56
"phi10","wt-10","wt","phi10","T7Hi","0.5",6.9e-07,0.28,0.56
"phi10","wt-10","wt","phi10","T7Hi","0.4",9.5e-07,0.3,0.58
"phi10","wt-10","wt","phi10","T7Hi","3",-0.0041,0.32,0.61
"phi10","wt-10","wt","phi10","T7Hi","4.3",-0.003,0.35,0.63
"phi10","wt-10","wt","phi10","T7Hi","5.5",-0.0012,0.36,0.64
"phi10","wt-10","wt","phi10","T7Hi","0.6B",2.8e-07,0.41,0.67
"phi10","wt-10","wt","phi10","T7Hi","1.4",-0.00059,0.47,0.67
"phi10","wt-10","wt","phi10","T7Hi","2.5",-0.0024,0.44,0.67
"phi10","wt-10","wt","phi10","T7Hi","4.2",-0.00098,0.47,0.67
"phi10","wt-10","wt","phi10","T7Hi","5.5-5.7",-0.00093,0.41,0.67
"phi10","wt-10","wt","phi10","T7Hi","5.7",-0.0011,0.43,0.67
"phi10","wt-10","wt","phi10","T7Hi","6",-0.00098,0.46,0.67
"phi10","wt-10","wt","phi10","T7Hi","15",0.00076,0.45,0.67
"phi10","wt-10","wt","phi10","T7Hi","5.9",-0.001,0.53,0.75
"phi10","wt-10","wt","phi10","T7Hi","6.3",-0.0017,0.56,0.76
"phi10","wt-10","wt","phi10","T7Hi","3.8",-0.00016,0.62,0.8
"phi10","wt-10","wt","phi10","T7Hi","4A",-0.00026,0.7,0.8
"phi10","wt-10","wt","phi10","T7Hi","4.1",-0.00035,0.7,0.8
"phi10","wt-10","wt","phi10","T7Hi","4B",-0.00027,0.7,0.8
"phi10","wt-10","wt","phi10","T7Hi","4.5",-0.0015,0.62,0.8
"phi10","wt-10","wt","phi10","T7Hi","4.7",-0.00025,0.64,0.8
"phi10","wt-10","wt","phi10","T7Hi","5",-2e-04,0.72,0.8
"phi10","wt-10","wt","phi10","T7Hi","8",-9e-04,0.73,0.8
"phi10","wt-10","wt","phi10","T7Hi","14",0.00039,0.74,0.8
"phi10","wt-10","wt","phi10","T7Hi","16",0.00033,0.71,0.8
"phi10","wt-10","wt","phi10","T7Hi","19.5",-0.0038,0.72,0.8
"phi10","wt-10","wt","phi10","T7Hi","2.8",-0.00081,0.78,0.83
"phi10","wt-10","wt","phi10","T7Hi","1",-2.5e-05,0.81,0.85
"phi10","wt-10","wt","phi10","T7Hi","7.7",0.00065,0.85,0.88
"phi10","wt-10","wt","phi10","T7Hi","13",0.00015,0.87,0.88
"phi10","wt-10","wt","phi10","T7Hi","0.6A",2.2e-08,0.92,0.92
"11-44","deop","10deop","wt","T7Hi","18.5",-0.0077,8.7e-08,5.2e-06
"11-44","deop","10deop","wt","T7Hi","17",-0.0061,3.3e-06,9.9e-05
"11-44","deop","10deop","wt","T7Hi","18.7",-0.0072,1.6e-05,0.00032
"11-44","deop","10deop","wt","T7Hi","19",-0.0086,0.00041,0.0052
"11-44","deop","10deop","wt","T7Hi","19.3",-0.012,0.00044,0.0052
"11-44","deop","10deop","wt","T7Hi","19.2",-0.014,0.00055,0.0055
"11-44","deop","10deop","wt","T7Hi","1",-0.00051,0.001,0.009
"11-44","deop","10deop","wt","T7Hi","18",-0.0047,0.0015,0.011
"11-44","deop","10deop","wt","T7Hi","10B",0.033,0.0019,0.012
"11-44","deop","10deop","wt","T7Hi","16",-0.0044,0.0019,0.012
"11-44","deop","10deop","wt","T7Hi","8",-0.0083,0.0022,0.012
"11-44","deop","10deop","wt","T7Hi","9",0.013,0.0041,0.021
"11-44","deop","10deop","wt","T7Hi","11",0.0034,0.0067,0.031
"11-44","deop","10deop","wt","T7Hi","10A",0.03,0.0081,0.035
"11-44","deop","10deop","wt","T7Hi","15",-0.0038,0.011,0.044
"11-44","deop","10deop","wt","T7Hi","13",-0.0026,0.015,0.057
"11-44","deop","10deop","wt","T7Hi","14",-0.0044,0.018,0.064
"11-44","deop","10deop","wt","T7Hi","19.5",-0.029,0.022,0.073
"11-44","deop","10deop","wt","T7Hi","5.3",0.0013,0.028,0.088
"11-44","deop","10deop","wt","T7Hi","5.5",0.0022,0.045,0.14
"11-44","deop","10deop","wt","T7Hi","5.5-5.7",0.0018,0.052,0.15
"11-44","deop","10deop","wt","T7Hi","4.7",0.00066,0.074,0.2
"11-44","deop","10deop","wt","T7Hi","5.7",0.0022,0.078,0.2
"11-44","deop","10deop","wt","T7Hi","4.3",0.0041,0.1,0.25
"11-44","deop","10deop","wt","T7Hi","17.5",-0.0021,0.1,0.25
"11-44","deop","10deop","wt","T7Hi","2",0.0033,0.11,0.26
